cue,answer
adhama,honor
jicho,eye 
pombe,beer
adui,enemy
jioni,evening
rafiki,friend
afisi,office
jiwe,stone
rangi,color
ajabu,wonder
kamba,rope
roho,soul
anga,sky
kanisa,church
saduku,box
askari,police
kaputula,pants
samaki,fish
baba,father
karamu,party
sauti,voice
bahari,sea
kazi,work
shukuru,thanks
barua,letter
keja,house
siri,secret
basi,bus
kichwa,head
skati,skirt
baskeli,bike
kijana ,boy
tabibu,doctor
bibi,grandmother
kioo,mirror
tofaa,apple
bustani,garden
kisu,knife
tumaini,hope
chakula,food
kitanda,bed
tumbili,monkey
chama,society
kiti,chair
tunda,fruit
chanjo,scissors
kofia,hat
ufu,death
chapati,bread
kuku,chicken
ujuzi,knowledge
chunga,pot
lango,door
wakati,alarm
degaga,glasses
likizo,holidays
wimbo,song
dhoruba,storm
limau,lemon
wingu,cloud
duara,wheel
lugha,language
dubu,bear
maji,ice
duka,shop
maliki,king
dunia,world
maslahi,interest
elimu,science
maumiva,pain
farasi,horse
maziwa,milk
fasihi,book
mbwa,dog
flava,music
